segment,n,AUC,AP
musica,27,1.0,1.0
dvds_blu_ray,25,0.9166666666666666,0.3333333333333333
cine_foto,62,0.887005649717514,0.2987012987012987
portateis_cozinha_e_preparadores_de_alimentos,14,0.8846153846153846,0.3333333333333333
fraldas_higiene,34,0.8787878787878787,0.2
fashion_underwear_e_moda_praia,42,0.8602941176470589,0.6356967787114847
artes_e_artesanato,22,0.8571428571428571,0.25
tablets_impressao_imagem,22,0.8245614035087719,0.7435897435897436
casa_conforto,154,0.8127951910691285,0.4163165234896911
fashion_calcados,70,0.764172335600907,0.34265873015873016
consoles_games,402,0.7325015216068167,0.226254717142687
moveis_sala,239,0.723132372214941,0.2732017755543238
fashion_roupa_masculina,26,0.72,0.125
malas_acessorios,487,0.7184955279668936,0.13424965686068568
eletroportateis,348,0.6967380224260958,0.12898524664203243
construcao_ferramentas_iluminacao,283,0.6959728867623605,0.11740221554168062
market_place,107,0.6957070707070707,0.17327228327228325
eletrodomesticos_2,148,0.6884498480243161,0.12111514611514612
telefonia,2293,0.6672704509736023,0.19793624371228863
eletronicos,1837,0.6638000402333534,0.18903551978430277
livros_interesse_geral,308,0.6627394636015325,0.08919728961582986
moveis_decoracao,4051,0.658438570800288,0.1538986337472961
cama_mesa_banho,5810,0.6501739882360765,0.14048875169947275
ferramentas_jardim,1849,0.6455601303825699,0.19472348027890213
casa_construcao,454,0.6451796558704455,0.11478462676441947
alimentos_bebidas,145,0.6402877697841727,0.24650494189203864
esporte_lazer,4436,0.6334402759667496,0.13334152698874197
moveis_colchao_e_estofado,19,0.6333333333333333,0.49935897435897436
missing,660,0.6321820743931297,0.16586898635777253
relogios_presentes,3628,0.6317909275683665,0.13032439750754604
pet_shop,1146,0.6257578586990351,0.1009494308069851
artes,165,0.6255912961210974,0.131921806211162
beleza_saude,5841,0.6239176972891746,0.15367800939780807
bebidas,279,0.6233153638814016,0.13150430456206208
agro_industria_e_comercio,145,0.619904076738609,0.3689458780446261
portateis_casa_forno_e_cafe,70,0.6153846153846154,0.28667169431875317
perfumaria,1606,0.6143770832376256,0.11406402536106211
brinquedos,1454,0.6139051918735892,0.1197175623696024
construcao_ferramentas_jardim,156,0.6122448979591837,0.10945679919946683
construcao_ferramentas_construcao,787,0.6116432524478501,0.1041696706341066
utilidades_domesticas,3969,0.610687661095705,0.10187783016157406
cool_stuff,1447,0.6068147538735774,0.12786233188376403
automotivo,2580,0.6067360719433477,0.12338886870666235
climatizacao,155,0.6056949806949806,0.06349431232548115
informatica_acessorios,4622,0.605571941136168,0.12361575333961435
livros_tecnicos,219,0.6040201005025125,0.12454077623774906
papelaria,1501,0.5979160862539701,0.13304282265808623
fashion_bolsas_e_acessorios,868,0.5881341911764707,0.10806287355938908
instrumentos_musicais,393,0.5784861690034104,0.09648529822044315
eletrodomesticos,519,0.5769422621274473,0.08968408954608942
bebes,1731,0.5737698542655968,0.1251485755555907
casa_conforto_2,10,0.5714285714285714,0.4166666666666667
industria_comercio_e_negocios,227,0.5705882352941176,0.15234092295460824
artigos_de_natal,89,0.5538095238095239,0.3008807369101486
telefonia_fixa,100,0.5529953917050692,0.09144472166293799
construcao_ferramentas_ferramentas,81,0.5526315789473684,0.09225329962493473
construcao_ferramentas_seguranca,143,0.5324074074074074,0.0699964346838592
moveis_escritorio,870,0.5123510748510749,0.09763450521460415
moveis_quarto,62,0.4964912280701754,0.09743018734535172
moveis_cozinha_area_de_servico_jantar_e_jardim,155,0.494407158836689,0.0940187596119846
alimentos,379,0.48740686750890827,0.09711934057757955
audio,195,0.47794834307992196,0.15561394122916306
pcs,72,0.4722222222222222,0.13834681880456529
sinalizacao_e_seguranca,153,0.46485260770975056,0.35788750536711034
flores,25,0.45833333333333337,0.07142857142857142
livros_importados,43,0.45238095238095233,0.041666666666666664
artigos_de_festas,32,0.23333333333333328,0.08
cds_dvds_musicais,1,,
fashion_esporte,5,,
fashion_roupa_feminina,16,,
fashion_roupa_infanto_juvenil,3,,
la_cuisine,4,,
pc_gamer,4,,
