segment,n,AUC,AP
RO,118,0.7521929824561404,0.08630874984830361
AM,85,0.7075,0.18727272727272726
CE,713,0.6991435336184194,0.3601797495891681
RN,260,0.6959237343852729,0.18541271923916017
RJ,7275,0.6956410116895536,0.24901841865001606
RR,26,0.6875,0.3125
SE,162,0.6792661905934498,0.3142876507570834
AL,210,0.6379769299023957,0.2903837349860251
PA,510,0.6253120449344706,0.27062207349561024
GO,1192,0.6207402432126697,0.11865312542164971
MS,477,0.6191392204803682,0.2073615157966148
SC,2210,0.6121435674638718,0.14267963012428503
BA,1934,0.6104251638765996,0.19622354450615215
MT,555,0.6096406393158913,0.1151831100399721
MA,385,0.5952578705900965,0.29085241493833125
ES,1166,0.5876262626262626,0.21243766303885075
PE,919,0.5808124680633623,0.13843394536544798
SP,26825,0.573000835424622,0.07318282586163714
PB,305,0.5656878963330576,0.1024053370856855
MG,6871,0.5655102176220805,0.08042453782360477
PI,286,0.5637254901960784,0.19023310422508533
RS,3168,0.5631392469268409,0.08423756329532969
DF,1329,0.5494926744926745,0.10861857446830708
PR,3105,0.527994633331712,0.057368777766987386
TO,163,0.4952380952380952,0.1719496563896138
AC,32,0.4838709677419355,0.058823529411764705
AP,43,,
